ID_Factura,Fecha,ID_Tratamiento,ID_Doctor,Importe_Cobrado,Metodo_Pago
2,2026-04-18,8,6,50.9,Tarjeta
334,2026-04-18,1,2,58.33,Efectivo
366,2026-04-18,6,3,1119.0,Financiacion
397,2026-04-18,4,4,162.25,Tarjeta
423,2026-04-18,5,5,246.18,Financiacion
180,2026-04-19,3,4,64.05,Transferencia
243,2026-04-19,1,6,55.1,Efectivo
499,2026-04-19,11,3,95.12,Efectivo
219,2026-04-20,6,2,1106.38,Financiacion
442,2026-04-20,5,1,262.77,Efectivo
174,2026-04-21,5,4,251.29,Transferencia
354,2026-04-23,12,3,211.76,Transferencia
27,2026-04-24,13,5,412.1,Financiacion
70,2026-04-24,1,2,56.15,Financiacion
116,2026-04-24,10,3,162.87,Efectivo
88,2026-04-26,9,6,110.24,Financiacion
188,2026-04-26,7,2,665.56,Tarjeta
372,2026-04-26,11,5,93.98,Transferencia
147,2026-04-27,2,5,37.25,Tarjeta
390,2026-04-28,14,1,440.73,Efectivo
416,2026-04-28,7,5,653.75,Transferencia
454,2026-04-28,15,1,128.7,Tarjeta
327,2026-04-30,4,4,171.42,Tarjeta
79,2026-05-01,11,3,81.03,Financiacion
270,2026-05-01,9,3,111.62,Tarjeta
282,2026-05-02,3,2,64.08,Financiacion
289,2026-05-02,10,3,164.53,Efectivo
455,2026-05-02,9,5,114.06,Tarjeta
312,2026-05-04,6,1,1304.01,Efectivo
329,2026-05-04,3,1,74.94,Efectivo
486,2026-05-04,9,5,112.32,Transferencia
54,2026-05-05,4,6,171.56,Tarjeta
375,2026-05-05,5,4,279.39,Transferencia
432,2026-05-05,15,3,138.59,Tarjeta
441,2026-05-05,10,3,151.88,Tarjeta
16,2026-05-07,15,5,146.1,Tarjeta
127,2026-05-07,6,3,1147.12,Efectivo
357,2026-05-08,6,5,1091.68,Tarjeta
73,2026-05-09,8,2,48.5,Financiacion
105,2026-05-09,5,4,259.25,Tarjeta
239,2026-05-10,13,4,404.2,Efectivo
417,2026-05-10,13,1,343.73,Tarjeta
74,2026-05-11,6,2,1175.63,Tarjeta
218,2026-05-12,13,3,410.44,Tarjeta
89,2026-05-13,8,6,46.47,Tarjeta
99,2026-05-13,10,3,139.15,Tarjeta
213,2026-05-13,11,3,90.8,Financiacion
296,2026-05-13,6,4,1133.89,Tarjeta
129,2026-05-14,8,6,51.91,Efectivo
131,2026-05-15,6,3,1193.58,Efectivo
348,2026-05-15,9,6,109.75,Tarjeta
444,2026-05-15,11,4,87.08,Transferencia
457,2026-05-15,8,6,51.54,Financiacion
18,2026-05-16,5,6,272.84,Tarjeta
52,2026-05-16,10,5,136.19,Tarjeta
272,2026-05-16,9,6,120.58,Efectivo
379,2026-05-16,4,3,195.89,Financiacion
404,2026-05-16,14,6,475.86,Efectivo
133,2026-05-17,6,2,1155.73,Transferencia
196,2026-05-17,13,6,392.1,Financiacion
201,2026-05-18,5,4,272.82,Tarjeta
399,2026-05-19,8,6,45.62,Tarjeta
25,2026-05-20,13,5,355.58,Financiacion
150,2026-05-20,13,6,412.96,Tarjeta
181,2026-05-20,7,3,669.48,Financiacion
346,2026-05-20,9,6,122.83,Tarjeta
478,2026-05-21,10,3,136.9,Tarjeta
123,2026-05-22,13,5,411.89,Transferencia
384,2026-05-22,12,5,209.95,Tarjeta
473,2026-05-22,3,1,64.22,Tarjeta
128,2026-05-23,1,5,60.2,Tarjeta
137,2026-05-23,1,1,60.64,Transferencia
266,2026-05-23,1,5,58.22,Tarjeta
381,2026-05-23,11,3,97.12,Tarjeta
212,2026-05-24,12,1,214.3,Tarjeta
139,2026-05-25,5,4,243.59,Tarjeta
290,2026-05-25,5,4,284.25,Financiacion
293,2026-05-25,13,1,354.18,Tarjeta
153,2026-05-26,5,4,270.39,Financiacion
166,2026-05-26,8,4,46.21,Financiacion
195,2026-05-26,6,2,1132.56,Tarjeta
380,2026-05-26,9,6,115.61,Tarjeta
388,2026-05-26,10,3,162.24,Tarjeta
251,2026-05-27,11,3,94.45,Tarjeta
255,2026-05-27,7,1,587.71,Tarjeta
391,2026-05-27,1,1,57.58,Efectivo
136,2026-05-28,7,2,586.84,Efectivo
199,2026-05-28,3,3,65.81,Transferencia
401,2026-05-28,4,3,196.46,Efectivo
173,2026-05-29,10,5,164.97,Efectivo
332,2026-05-29,15,2,145.61,Tarjeta
367,2026-05-29,6,5,1201.76,Efectivo
429,2026-05-29,5,4,246.53,Tarjeta
483,2026-05-29,12,3,206.84,Tarjeta
142,2026-05-30,4,1,166.26,Transferencia
192,2026-05-30,14,2,448.49,Tarjeta
301,2026-05-30,1,1,56.86,Efectivo
425,2026-05-30,9,2,113.31,Tarjeta
29,2026-05-31,6,2,1100.56,Efectivo
145,2026-05-31,10,5,136.81,Financiacion
400,2026-05-31,7,2,674.74,Efectivo
410,2026-05-31,9,6,127.59,Transferencia
237,2026-06-01,10,3,139.64,Efectivo
258,2026-06-01,9,6,126.7,Tarjeta
336,2026-06-01,12,4,219.06,Tarjeta
232,2026-06-02,5,4,253.46,Tarjeta
265,2026-06-02,7,2,642.49,Tarjeta
463,2026-06-02,4,1,183.13,Transferencia
331,2026-06-03,8,6,50.5,Tarjeta
350,2026-06-03,6,6,1314.09,Tarjeta
221,2026-06-04,3,1,66.72,Tarjeta
341,2026-06-04,9,6,128.3,Tarjeta
468,2026-06-05,11,1,85.92,Financiacion
485,2026-06-05,5,4,252.98,Financiacion
76,2026-06-06,2,1,43.02,Tarjeta
275,2026-06-06,9,1,124.28,Tarjeta
279,2026-06-06,14,2,490.24,Financiacion
309,2026-06-07,7,2,690.76,Tarjeta
392,2026-06-07,11,3,97.01,Tarjeta
436,2026-06-07,1,3,56.54,Tarjeta
482,2026-06-07,14,4,463.59,Efectivo
6,2026-06-08,2,1,39.04,Tarjeta
34,2026-06-08,10,1,151.62,Efectivo
242,2026-06-08,10,3,151.99,Tarjeta
363,2026-06-08,6,5,1261.19,Tarjeta
62,2026-06-09,14,2,428.76,Efectivo
7,2026-06-10,5,5,275.97,Transferencia
382,2026-06-10,7,2,709.19,Tarjeta
419,2026-06-10,6,2,1087.73,Transferencia
112,2026-06-11,13,2,414.75,Tarjeta
260,2026-06-11,14,3,463.09,Tarjeta
500,2026-06-11,5,4,250.58,Tarjeta
320,2026-06-12,7,5,620.69,Financiacion
446,2026-06-12,7,2,608.93,Financiacion
475,2026-06-12,2,5,40.78,Transferencia
493,2026-06-12,1,2,60.76,Efectivo
214,2026-06-13,7,1,620.86,Financiacion
223,2026-06-14,10,5,138.27,Efectivo
333,2026-06-14,4,5,166.37,Tarjeta
12,2026-06-15,6,2,1240.84,Transferencia
200,2026-06-15,9,5,129.92,Financiacion
204,2026-06-15,13,1,371.99,Tarjeta
273,2026-06-15,7,3,638.14,Tarjeta
324,2026-06-15,10,3,153.15,Transferencia
115,2026-06-16,12,2,229.61,Transferencia
325,2026-06-16,10,3,152.22,Efectivo
351,2026-06-16,9,5,110.55,Tarjeta
187,2026-06-17,5,4,263.43,Transferencia
206,2026-06-17,11,1,85.21,Tarjeta
450,2026-06-17,10,1,154.13,Financiacion
117,2026-06-18,4,4,164.74,Transferencia
175,2026-06-18,14,4,421.98,Transferencia
244,2026-06-18,4,4,175.32,Transferencia
110,2026-06-19,14,3,442.94,Financiacion
144,2026-06-19,5,4,278.73,Financiacion
252,2026-06-19,12,5,208.12,Efectivo
373,2026-06-19,4,2,163.14,Financiacion
439,2026-06-19,5,4,250.04,Tarjeta
353,2026-06-20,7,5,617.28,Financiacion
361,2026-06-20,8,5,52.64,Tarjeta
476,2026-06-20,5,1,255.52,Transferencia
465,2026-06-21,6,6,1172.12,Transferencia
278,2026-06-22,2,2,38.48,Tarjeta
497,2026-06-22,10,4,155.71,Tarjeta
326,2026-06-23,4,3,196.58,Tarjeta
456,2026-06-23,6,1,1310.23,Efectivo
484,2026-06-23,11,3,98.42,Transferencia
92,2026-06-24,6,2,1294.24,Financiacion
226,2026-06-24,8,4,52.12,Tarjeta
315,2026-06-24,9,6,116.14,Tarjeta
85,2026-06-25,14,5,405.04,Tarjeta
163,2026-06-25,14,5,493.93,Transferencia
396,2026-06-25,4,4,176.43,Tarjeta
45,2026-06-26,5,4,280.93,Tarjeta
337,2026-06-26,2,5,37.0,Tarjeta
39,2026-06-27,1,4,62.08,Financiacion
71,2026-06-27,13,6,360.86,Tarjeta
386,2026-06-27,2,3,41.45,Tarjeta
172,2026-06-28,9,3,114.41,Tarjeta
211,2026-06-28,9,6,122.78,Financiacion
431,2026-06-28,9,5,111.22,Tarjeta
443,2026-06-28,11,3,85.14,Efectivo
104,2026-06-29,12,5,230.32,Transferencia
222,2026-06-29,2,5,41.97,Efectivo
479,2026-06-29,10,3,145.83,Financiacion
21,2026-06-30,2,5,39.08,Efectivo
132,2026-06-30,6,6,1248.69,Tarjeta
247,2026-06-30,7,4,620.51,Transferencia
490,2026-06-30,5,4,264.28,Efectivo
81,2026-07-02,11,1,97.57,Efectivo
86,2026-07-02,10,5,154.64,Efectivo
155,2026-07-02,9,6,108.62,Tarjeta
359,2026-07-02,12,2,214.09,Tarjeta
78,2026-07-03,9,5,110.78,Financiacion
33,2026-07-04,8,5,46.21,Tarjeta
58,2026-07-04,12,5,211.31,Financiacion
179,2026-07-04,9,1,129.85,Tarjeta
198,2026-07-04,10,1,145.95,Tarjeta
323,2026-07-04,3,1,63.94,Transferencia
349,2026-07-04,4,4,174.25,Tarjeta
65,2026-07-05,12,5,216.82,Tarjeta
87,2026-07-05,9,6,127.05,Financiacion
383,2026-07-05,9,6,113.14,Financiacion
407,2026-07-05,11,1,84.7,Efectivo
288,2026-07-06,7,2,710.53,Transferencia
328,2026-07-06,5,2,270.09,Financiacion
398,2026-07-06,5,3,264.29,Efectivo
415,2026-07-06,4,4,185.53,Tarjeta
231,2026-07-07,7,2,636.83,Transferencia
295,2026-07-07,7,3,591.92,Efectivo
162,2026-07-08,6,1,1140.58,Tarjeta
215,2026-07-08,11,1,84.82,Efectivo
402,2026-07-08,6,6,1179.8,Efectivo
122,2026-07-09,8,6,52.34,Financiacion
14,2026-07-10,4,4,186.65,Financiacion
42,2026-07-10,2,2,39.55,Financiacion
208,2026-07-10,9,6,110.8,Tarjeta
263,2026-07-10,13,5,386.04,Transferencia
267,2026-07-10,5,4,277.25,Tarjeta
22,2026-07-11,5,5,284.5,Financiacion
101,2026-07-11,5,4,254.25,Transferencia
124,2026-07-11,10,4,143.05,Financiacion
190,2026-07-11,3,3,64.03,Financiacion
335,2026-07-11,3,5,71.57,Tarjeta
111,2026-07-12,12,1,221.73,Financiacion
298,2026-07-12,13,6,395.62,Tarjeta
403,2026-07-12,13,5,392.47,Tarjeta
413,2026-07-12,5,1,255.26,Transferencia
38,2026-07-13,4,4,185.72,Tarjeta
90,2026-07-13,14,5,474.16,Efectivo
97,2026-07-13,4,4,192.24,Tarjeta
114,2026-07-13,8,6,49.65,Tarjeta
233,2026-07-13,2,1,42.65,Tarjeta
365,2026-07-13,8,5,46.49,Financiacion
103,2026-07-14,6,1,1151.67,Tarjeta
140,2026-07-14,14,1,410.88,Efectivo
377,2026-07-14,7,5,625.79,Tarjeta
170,2026-07-15,4,4,175.81,Financiacion
451,2026-07-15,8,6,50.32,Tarjeta
183,2026-07-16,1,5,61.41,Tarjeta
121,2026-07-17,7,1,709.9,Efectivo
130,2026-07-17,2,4,38.35,Tarjeta
159,2026-07-17,8,1,48.48,Tarjeta
368,2026-07-17,8,6,53.16,Tarjeta
445,2026-07-17,8,6,49.61,Transferencia
469,2026-07-17,7,2,641.14,Transferencia
161,2026-07-18,7,3,690.76,Efectivo
17,2026-07-19,11,4,89.26,Tarjeta
165,2026-07-19,8,6,47.04,Efectivo
355,2026-07-19,8,5,49.99,Tarjeta
440,2026-07-19,5,4,273.6,Tarjeta
154,2026-07-20,8,5,49.38,Efectivo
178,2026-07-20,6,5,1288.73,Financiacion
96,2026-07-21,9,4,118.7,Tarjeta
306,2026-07-21,9,5,108.49,Financiacion
393,2026-07-21,4,4,173.9,Transferencia
406,2026-07-21,3,2,65.3,Financiacion
171,2026-07-22,14,6,411.28,Transferencia
364,2026-07-22,4,4,163.4,Transferencia
294,2026-07-23,2,2,43.57,Tarjeta
303,2026-07-23,4,5,187.87,Tarjeta
409,2026-07-23,4,4,182.12,Transferencia
98,2026-07-25,5,4,256.87,Transferencia
225,2026-07-25,10,3,136.82,Efectivo
135,2026-07-26,5,5,284.99,Financiacion
249,2026-07-26,8,6,48.95,Efectivo
280,2026-07-26,11,1,93.07,Efectivo
284,2026-07-26,11,1,87.06,Transferencia
50,2026-07-27,6,2,1284.32,Tarjeta
229,2026-07-27,11,3,82.79,Transferencia
405,2026-07-27,8,6,45.62,Efectivo
343,2026-07-28,9,1,123.38,Efectivo
378,2026-07-28,11,3,91.98,Tarjeta
8,2026-07-29,15,1,136.6,Efectivo
80,2026-07-29,12,6,230.43,Tarjeta
433,2026-07-29,1,6,57.22,Transferencia
37,2026-07-30,15,2,141.99,Efectivo
164,2026-07-30,4,4,180.66,Efectivo
412,2026-07-30,15,1,151.04,Financiacion
151,2026-07-31,15,2,133.44,Tarjeta
313,2026-07-31,4,4,172.3,Financiacion
31,2026-08-01,7,2,710.37,Financiacion
43,2026-08-01,1,1,61.83,Efectivo
300,2026-08-01,7,6,599.45,Tarjeta
387,2026-08-01,7,2,647.07,Tarjeta
67,2026-08-02,6,2,1153.98,Financiacion
269,2026-08-02,8,6,54.09,Efectivo
292,2026-08-02,12,1,235.22,Financiacion
339,2026-08-02,13,6,415.44,Tarjeta
47,2026-08-03,3,6,65.66,Tarjeta
474,2026-08-03,9,5,117.79,Tarjeta
496,2026-08-03,12,5,223.31,Tarjeta
69,2026-08-04,12,4,204.8,Financiacion
207,2026-08-04,4,3,185.32,Efectivo
235,2026-08-04,6,5,1240.8,Tarjeta
477,2026-08-04,3,2,72.59,Tarjeta
56,2026-08-05,2,1,40.3,Efectivo
108,2026-08-05,9,6,111.26,Efectivo
217,2026-08-05,6,2,1220.73,Financiacion
264,2026-08-05,10,6,144.7,Financiacion
245,2026-08-06,2,5,43.07,Tarjeta
395,2026-08-06,3,6,71.55,Efectivo
176,2026-08-07,5,4,236.27,Transferencia
193,2026-08-07,12,3,210.99,Financiacion
389,2026-08-07,6,2,1299.18,Tarjeta
141,2026-08-08,3,6,65.09,Efectivo
424,2026-08-08,13,3,393.11,Tarjeta
77,2026-08-09,11,3,87.22,Transferencia
344,2026-08-09,7,2,694.53,Efectivo
371,2026-08-09,4,5,187.97,Efectivo
411,2026-08-09,1,1,59.08,Transferencia
19,2026-08-10,4,4,180.34,Tarjeta
189,2026-08-10,7,2,644.74,Transferencia
228,2026-08-10,12,5,212.31,Financiacion
191,2026-08-11,7,3,674.74,Efectivo
385,2026-08-11,6,2,1233.11,Tarjeta
435,2026-08-11,4,6,179.26,Financiacion
95,2026-08-13,15,3,138.39,Financiacion
358,2026-08-13,5,6,261.91,Financiacion
492,2026-08-13,2,6,42.15,Transferencia
28,2026-08-14,10,3,162.87,Financiacion
274,2026-08-14,13,1,389.95,Tarjeta
291,2026-08-15,1,2,61.69,Financiacion
319,2026-08-15,9,6,116.44,Tarjeta
434,2026-08-15,14,1,411.55,Financiacion
143,2026-08-16,13,5,389.0,Transferencia
167,2026-08-16,5,2,262.64,Efectivo
224,2026-08-18,12,1,232.46,Financiacion
420,2026-08-18,4,1,169.42,Tarjeta
246,2026-08-19,11,1,82.47,Tarjeta
256,2026-08-19,15,4,136.13,Tarjeta
302,2026-08-20,5,4,265.03,Tarjeta
362,2026-08-20,3,6,76.65,Tarjeta
9,2026-08-21,15,5,150.13,Efectivo
26,2026-08-21,9,3,122.62,Tarjeta
118,2026-08-21,7,2,695.54,Efectivo
197,2026-08-21,15,1,143.57,Tarjeta
347,2026-08-21,5,5,267.38,Tarjeta
427,2026-08-21,9,6,109.13,Tarjeta
480,2026-08-21,4,4,178.48,Tarjeta
91,2026-08-22,4,5,187.86,Tarjeta
449,2026-08-22,6,2,1082.19,Efectivo
185,2026-08-23,8,6,46.66,Tarjeta
259,2026-08-23,9,1,120.24,Financiacion
342,2026-08-23,5,5,240.51,Tarjeta
1,2026-08-24,1,1,62.9,Tarjeta
24,2026-08-25,11,3,83.85,Tarjeta
240,2026-08-25,1,5,61.31,Transferencia
414,2026-08-25,7,6,633.68,Financiacion
428,2026-08-25,9,6,124.71,Tarjeta
447,2026-08-25,9,1,108.81,Financiacion
55,2026-08-26,10,3,135.28,Efectivo
169,2026-08-26,7,2,651.15,Tarjeta
394,2026-08-26,1,3,62.84,Transferencia
460,2026-08-26,14,3,492.65,Financiacion
494,2026-08-26,6,4,1311.77,Tarjeta
158,2026-08-27,3,4,76.96,Tarjeta
59,2026-08-28,1,5,62.01,Efectivo
230,2026-08-28,9,6,125.3,Tarjeta
262,2026-08-28,3,1,76.32,Efectivo
53,2026-08-29,10,5,150.68,Financiacion
194,2026-08-29,4,4,194.78,Transferencia
276,2026-08-29,14,5,418.53,Tarjeta
60,2026-08-30,15,1,129.76,Tarjeta
82,2026-08-30,12,1,237.6,Efectivo
120,2026-08-30,11,3,81.23,Tarjeta
277,2026-08-30,5,2,284.32,Transferencia
470,2026-08-30,5,4,275.5,Transferencia
83,2026-08-31,5,4,262.83,Tarjeta
84,2026-08-31,15,4,130.87,Efectivo
236,2026-08-31,12,4,200.26,Tarjeta
305,2026-08-31,9,6,109.62,Efectivo
106,2026-09-01,12,6,205.26,Efectivo
126,2026-09-01,5,4,278.25,Tarjeta
160,2026-09-01,14,1,419.47,Tarjeta
253,2026-09-01,10,3,148.09,Efectivo
448,2026-09-01,13,1,342.49,Tarjeta
156,2026-09-02,10,5,163.52,Financiacion
157,2026-09-02,13,3,399.48,Efectivo
182,2026-09-02,7,5,709.04,Efectivo
369,2026-09-02,7,1,660.88,Transferencia
418,2026-09-02,9,6,127.76,Tarjeta
489,2026-09-02,5,4,246.59,Transferencia
203,2026-09-03,7,6,710.75,Financiacion
322,2026-09-03,3,2,74.88,Transferencia
13,2026-09-04,8,6,50.34,Tarjeta
184,2026-09-05,12,3,201.98,Financiacion
310,2026-09-05,8,4,51.32,Financiacion
462,2026-09-05,10,3,154.74,Tarjeta
32,2026-09-06,7,2,714.37,Efectivo
134,2026-09-06,7,2,620.94,Efectivo
148,2026-09-06,8,5,47.91,Tarjeta
370,2026-09-06,9,6,114.37,Transferencia
466,2026-09-06,9,6,109.29,Tarjeta
100,2026-09-07,2,2,39.32,Tarjeta
241,2026-09-07,11,3,93.65,Tarjeta
286,2026-09-07,13,5,410.6,Transferencia
316,2026-09-07,5,4,275.66,Transferencia
488,2026-09-07,14,1,481.3,Transferencia
491,2026-09-07,5,4,270.48,Financiacion
102,2026-09-08,14,1,484.26,Efectivo
4,2026-09-09,7,5,613.66,Efectivo
72,2026-09-09,7,1,698.38,Financiacion
10,2026-09-10,1,1,61.94,Transferencia
149,2026-09-10,8,3,45.71,Tarjeta
177,2026-09-10,4,4,179.83,Tarjeta
438,2026-09-10,6,2,1212.5,Transferencia
430,2026-09-11,15,2,127.61,Tarjeta
330,2026-09-12,13,4,393.83,Financiacion
464,2026-09-12,5,4,242.45,Tarjeta
